"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "words:letters"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "teacher:students" "house:residents"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "librarian:books" "proprietor:employees"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "lawyer:clients" "musician:music"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "mall:shops" "professor:students"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "baker:bread"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "scholar:books" "library:books"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "garden:vegetables" "letters:words"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "shrubs:roots" "vintner:wine"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "teacher:students" "investor:investments"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "house:residents" "gas:refinery"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "proprietor:employees" "vintner:wine"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "garden:vegetables" "scholar:books"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "librarian:books" "bank:money"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "musician:music" "college:teachers"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "mall:shops"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "mother:children" "library:books"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "shrubs:roots" "homeowner:home"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "letters:words" "lawyer:clients"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "bird:wings" "mother:children"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "shrubs:roots" "librarian:books"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "bee:beehive" "mall:shops"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "scholar:books" "expert:experience"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "lawyer:clients" "proprietor:employees"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "teacher:students" "garden:vegetables"
"investor:investments" "letters:words" "words:letters" "college:teachers" "letters:words" "college:teachers"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "vintner:wine" "doctor:degree"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "garden:vegetables" "bank:money"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "college:teachers"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "baker:bread" "vintner:wine"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "bank:money" "employee:job"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "lawyer:clients" "proprietor:employees"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "library:books" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "teacher:students" "shrubs:roots"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "librarian:books" "bird:wings"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "letters:words" "homeowner:home"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "scholar:books" "tree:bark"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "college:teachers" "lyrics:songwriter"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "musician:music" "mansion:rooms"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "letters:words" "farmer:crops"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "lawyer:clients" "proprietor:employees"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "garden:vegetables" "tree:bark"
