"art:abstract" "bread:wheat" "pet:dog" "dog:pet" "dog:pet" "pet:dog"
"furniture:chair" "tree:oak" "currency:dollar" "couch:furniture" "tree:oak" "currency:dollar"
"bird:robin" "fruit:grape" "insect:ant" "animal:pig" "animal:pig" "insect:ant"
"hair:brown" "tree:ash" "bush:azalea" "bush:astilbe" "bush:astilbe" "tree:ash"
"vegetable:carrot" "dollar:currency" "appliance:refrigerator" "color:red" "appliance:refrigerator" "vegetable:carrot"
"dog:poodle" "footwear:boot" "oak:tree" "furniture:couch" "oak:tree" "footwear:boot"
"mammal:porpoise" "weapon:spear" "animal:carabao" "dog:chihuahua" "weapon:spear" "animal:carabao"
"school:university" "clothing:shirt" "car:mustang" "sweater:knit" "school:university" "clothing:shirt"
"automobile:van" "wheat:bread" "weather:rain" "politician:senator" "weather:rain" "wheat:bread"
"song:opera" "bird:swan" "jewelry:ring" "pen:ballpoint" "bird:swan" "pen:ballpoint"
"rodent:mouse" "tree:oak" "clothing:shirt" "sweater:knit" "tree:oak" "clothing:shirt"
"weapon:spear" "song:opera" "car:mustang" "dog:chihuahua" "weapon:spear" "song:opera"
"dog:pet" "weather:rain" "bird:robin" "color:red" "dog:pet" "weather:rain"
"dollar:currency" "pen:ballpoint" "currency:dollar" "politician:senator" "currency:dollar" "pen:ballpoint"
"furniture:chair" "oak:tree" "animal:carabao" "fruit:grape" "oak:tree" "furniture:chair"
"tree:ash" "footwear:boot" "appliance:refrigerator" "vegetable:carrot" "appliance:refrigerator" "vegetable:carrot"
"bush:azalea" "art:abstract" "jewelry:ring" "bush:astilbe" "bush:astilbe" "art:abstract"
"bread:wheat" "animal:pig" "wheat:bread" "insect:ant" "animal:pig" "insect:ant"
"dog:poodle" "hair:brown" "automobile:van" "pet:dog" "pet:dog" "dog:poodle"
"couch:furniture" "mammal:porpoise" "rodent:mouse" "school:university" "school:university" "rodent:mouse"
"furniture:couch" "bird:swan" "bush:astilbe" "car:mustang" "bush:astilbe" "bird:swan"
"currency:dollar" "furniture:couch" "sweater:knit" "automobile:van" "currency:dollar" "sweater:knit"
"dog:poodle" "furniture:chair" "animal:pig" "weather:rain" "animal:pig" "weather:rain"
"dog:chihuahua" "bush:azalea" "politician:senator" "animal:carabao" "animal:carabao" "politician:senator"
"bird:robin" "bird:swan" "mammal:porpoise" "dog:pet" "dog:pet" "bird:swan"
"couch:furniture" "vegetable:carrot" "pen:ballpoint" "appliance:refrigerator" "pen:ballpoint" "appliance:refrigerator"
"rodent:mouse" "song:opera" "footwear:boot" "hair:brown" "song:opera" "rodent:mouse"
"oak:tree" "weapon:spear" "bread:wheat" "school:university" "school:university" "weapon:spear"
"clothing:shirt" "tree:oak" "jewelry:ring" "color:red" "tree:oak" "clothing:shirt"
"tree:ash" "fruit:grape" "art:abstract" "wheat:bread" "art:abstract" "fruit:grape"
"pet:dog" "insect:ant" "dollar:currency" "weather:rain" "pet:dog" "dollar:currency"
"sweater:knit" "color:red" "footwear:boot" "insect:ant" "insect:ant" "color:red"
"dog:pet" "furniture:couch" "bush:azalea" "dog:chihuahua" "dog:pet" "dog:chihuahua"
"bird:robin" "politician:senator" "wheat:bread" "jewelry:ring" "wheat:bread" "bird:robin"
"car:mustang" "pet:dog" "mammal:porpoise" "automobile:van" "pet:dog" "mammal:porpoise"
"fruit:grape" "clothing:shirt" "bread:wheat" "animal:carabao" "clothing:shirt" "animal:carabao"
"dollar:currency" "weapon:spear" "furniture:chair" "art:abstract" "weapon:spear" "dollar:currency"
"appliance:refrigerator" "bird:swan" "dog:poodle" "rodent:mouse" "bird:swan" "appliance:refrigerator"
"hair:brown" "school:university" "couch:furniture" "tree:ash" "school:university" "tree:ash"
"oak:tree" "vegetable:carrot" "tree:oak" "currency:dollar" "tree:oak" "currency:dollar"
"bush:astilbe" "animal:pig" "pen:ballpoint" "song:opera" "bush:astilbe" "animal:pig"
"bush:astilbe" "bread:wheat" "couch:furniture" "oak:tree" "bush:astilbe" "oak:tree"
"tree:ash" "wheat:bread" "dog:chihuahua" "clothing:shirt" "clothing:shirt" "wheat:bread"
"tree:oak" "dollar:currency" "dog:poodle" "bush:azalea" "tree:oak" "dollar:currency"
"furniture:couch" "sweater:knit" "footwear:boot" "furniture:chair" "furniture:chair" "sweater:knit"
"animal:pig" "pen:ballpoint" "car:mustang" "art:abstract" "animal:pig" "pen:ballpoint"
"color:red" "jewelry:ring" "politician:senator" "bird:robin" "color:red" "bird:robin"
"pet:dog" "fruit:grape" "insect:ant" "rodent:mouse" "pet:dog" "insect:ant"
"dog:pet" "hair:brown" "weapon:spear" "currency:dollar" "dog:pet" "currency:dollar"
"school:university" "vegetable:carrot" "song:opera" "bird:swan" "bird:swan" "school:university"
"animal:carabao" "appliance:refrigerator" "mammal:porpoise" "weather:rain" "appliance:refrigerator" "weather:rain"
"automobile:van" "couch:furniture" "color:red" "rodent:mouse" "color:red" "rodent:mouse"
"tree:ash" "furniture:couch" "weapon:spear" "pet:dog" "pet:dog" "weapon:spear"
"appliance:refrigerator" "sweater:knit" "dog:poodle" "tree:oak" "tree:oak" "appliance:refrigerator"
"fruit:grape" "politician:senator" "insect:ant" "oak:tree" "oak:tree" "insect:ant"
"art:abstract" "mammal:porpoise" "footwear:boot" "hair:brown" "art:abstract" "footwear:boot"
"automobile:van" "bird:swan" "pen:ballpoint" "animal:pig" "animal:pig" "bird:swan"
"bird:robin" "bush:astilbe" "car:mustang" "dollar:currency" "bush:astilbe" "dollar:currency"
"dog:pet" "clothing:shirt" "bush:azalea" "jewelry:ring" "dog:pet" "clothing:shirt"
"currency:dollar" "weather:rain" "wheat:bread" "vegetable:carrot" "currency:dollar" "vegetable:carrot"
"school:university" "animal:carabao" "bread:wheat" "furniture:chair" "school:university" "furniture:chair"
"dog:chihuahua" "song:opera" "bird:swan" "furniture:chair" "bird:swan" "song:opera"
"appliance:refrigerator" "bush:astilbe" "vegetable:carrot" "bread:wheat" "bush:astilbe" "appliance:refrigerator"
"pen:ballpoint" "dog:chihuahua" "insect:ant" "jewelry:ring" "pen:ballpoint" "insect:ant"
"automobile:van" "oak:tree" "song:opera" "footwear:boot" "song:opera" "oak:tree"
"dog:poodle" "weapon:spear" "school:university" "mammal:porpoise" "school:university" "weapon:spear"
"tree:ash" "tree:oak" "dog:pet" "pet:dog" "tree:oak" "dog:pet"
"art:abstract" "couch:furniture" "sweater:knit" "car:mustang" "art:abstract" "sweater:knit"
"animal:pig" "animal:carabao" "color:red" "weather:rain" "animal:pig" "weather:rain"
"wheat:bread" "currency:dollar" "fruit:grape" "bush:azalea" "currency:dollar" "fruit:grape"
"bird:robin" "rodent:mouse" "politician:senator" "furniture:couch" "rodent:mouse" "bird:robin"
"dollar:currency" "clothing:shirt" "hair:brown" "bush:azalea" "dollar:currency" "clothing:shirt"
"currency:dollar" "animal:pig" "dollar:currency" "bird:swan" "animal:pig" "currency:dollar"
"bird:robin" "dog:chihuahua" "song:opera" "school:university" "school:university" "song:opera"
