"option:choice" "cute:adorable" "abode:house" "bathroom:restroom" "option:choice" "cute:adorable"
"urban:city" "old:mature" "candy:sweets" "restroom:bathroom" "urban:city" "candy:sweets"
"organization:club" "careful:cautious" "house:home" "seat:chair" "careful:cautious" "house:home"
"couch:sofa" "bathroom:lavatory" "spectacles:glasses" "spin:twirl" "spectacles:glasses" "bathroom:lavatory"
"flammable:inflammable" "big:large" "kid:child" "boat:ship" "big:large" "boat:ship"
"dream:fantasize" "music:tunes" "stick:attach" "cellphone:mobile" "music:tunes" "stick:attach"
"glass:cup" "run:sprint" "tedious:monotonous" "sofa:chair" "glass:cup" "tedious:monotonous"
"beautiful:pretty" "sleep:doze" "pretty:beautiful" "sweets:candy" "pretty:beautiful" "sweets:candy"
"clean:tidy" "large:big" "make:manufacture" "dress:frock" "dress:frock" "clean:tidy"
"room:chamber" "teach:instruct" "ugly:hideous" "pants:trousers" "room:chamber" "pants:trousers"
"raise:elevate" "house:abode" "house:dwelling" "cute:adorable" "house:dwelling" "raise:elevate"
"glass:cup" "boat:ship" "spin:twirl" "organization:club" "boat:ship" "glass:cup"
"old:mature" "seat:chair" "spectacles:glasses" "house:dwelling" "house:dwelling" "seat:chair"
"flammable:inflammable" "stick:attach" "tedious:monotonous" "raise:elevate" "raise:elevate" "tedious:monotonous"
"abode:house" "pretty:beautiful" "candy:sweets" "bathroom:lavatory" "pretty:beautiful" "bathroom:lavatory"
"clean:tidy" "make:manufacture" "bathroom:restroom" "pants:trousers" "pants:trousers" "clean:tidy"
"sofa:chair" "large:big" "kid:child" "restroom:bathroom" "kid:child" "sofa:chair"
"ugly:hideous" "dream:fantasize" "urban:city" "sweets:candy" "urban:city" "ugly:hideous"
"cellphone:mobile" "option:choice" "run:sprint" "couch:sofa" "option:choice" "run:sprint"
"house:home" "teach:instruct" "music:tunes" "house:abode" "house:home" "music:tunes"
"dress:frock" "big:large" "beautiful:pretty" "room:chamber" "room:chamber" "big:large"
"sleep:doze" "careful:cautious" "teach:instruct" "run:sprint" "careful:cautious" "teach:instruct"
"house:home" "kid:child" "bathroom:lavatory" "clean:tidy" "house:home" "kid:child"
"cellphone:mobile" "candy:sweets" "old:mature" "couch:sofa" "couch:sofa" "candy:sweets"
"stick:attach" "bathroom:restroom" "abode:house" "sofa:chair" "sofa:chair" "stick:attach"
