"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "words:letters" "refinery:gas"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "house:residents" "mansion:rooms"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "mother:children" "doctor:degree"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "expert:experience"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "mall:shops" "teacher:chalk"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "baker:bread"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "bird:feathers" "students:teacher"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "garden:vegetables" "bee:beehive"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "vintner:wine" "college:teachers"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "investor:investments" "students:teacher"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "house:residents" "bird:feathers"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "vintner:wine" "words:letters"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "farmer:crops" "tree:bark"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bank:money" "bird:wings"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "investor:investments" "college:teachers"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "mall:shops"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "mother:children" "library:books"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "mansion:rooms" "bee:beehive"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "lawyer:clients" "letters:words"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "mother:children" "bird:wings"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "house:residents" "students:teacher"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "bird:feathers" "mall:shops"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "expert:experience" "mammal:hair"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "employee:job" "lawyer:clients"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "baker:bread" "garden:vegetables"
"investor:investments" "letters:words" "words:letters" "college:teachers" "investor:investments" "college:teachers"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "mansion:rooms" "vintner:wine"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "bank:money" "farmer:crops"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "college:teachers" "musician:music"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "vintner:wine" "mother:children"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "house:residents" "bank:money"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "investor:investments" "students:teacher"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "mansion:rooms" "library:books"
