"option:choice" "cute:adorable" "abode:house" "bathroom:restroom" "option:choice" "abode:house"
"urban:city" "old:mature" "candy:sweets" "restroom:bathroom" "urban:city" "candy:sweets"
"organization:club" "careful:cautious" "house:home" "seat:chair" "house:home" "seat:chair"
"couch:sofa" "bathroom:lavatory" "spectacles:glasses" "spin:twirl" "spectacles:glasses" "bathroom:lavatory"
"flammable:inflammable" "big:large" "kid:child" "boat:ship" "big:large" "flammable:inflammable"
"dream:fantasize" "music:tunes" "stick:attach" "cellphone:mobile" "stick:attach" "dream:fantasize"
"glass:cup" "run:sprint" "tedious:monotonous" "sofa:chair" "tedious:monotonous" "glass:cup"
"beautiful:pretty" "sleep:doze" "pretty:beautiful" "sweets:candy" "sweets:candy" "beautiful:pretty"
"clean:tidy" "large:big" "make:manufacture" "dress:frock" "dress:frock" "clean:tidy"
"room:chamber" "teach:instruct" "ugly:hideous" "pants:trousers" "room:chamber" "teach:instruct"
"raise:elevate" "house:abode" "house:dwelling" "cute:adorable" "house:dwelling" "raise:elevate"
"glass:cup" "boat:ship" "spin:twirl" "organization:club" "boat:ship" "glass:cup"
"old:mature" "seat:chair" "spectacles:glasses" "house:dwelling" "house:dwelling" "seat:chair"
"flammable:inflammable" "stick:attach" "tedious:monotonous" "raise:elevate" "flammable:inflammable" "tedious:monotonous"
"abode:house" "pretty:beautiful" "candy:sweets" "bathroom:lavatory" "candy:sweets" "pretty:beautiful"
"clean:tidy" "make:manufacture" "bathroom:restroom" "pants:trousers" "pants:trousers" "clean:tidy"
"sofa:chair" "large:big" "kid:child" "restroom:bathroom" "kid:child" "sofa:chair"
"ugly:hideous" "dream:fantasize" "urban:city" "sweets:candy" "sweets:candy" "urban:city"
"cellphone:mobile" "option:choice" "run:sprint" "couch:sofa" "option:choice" "run:sprint"
"house:home" "teach:instruct" "music:tunes" "house:abode" "house:home" "teach:instruct"
"dress:frock" "big:large" "beautiful:pretty" "room:chamber" "room:chamber" "big:large"
"sleep:doze" "careful:cautious" "teach:instruct" "run:sprint" "teach:instruct" "sleep:doze"
"house:home" "kid:child" "bathroom:lavatory" "clean:tidy" "house:home" "kid:child"
"cellphone:mobile" "candy:sweets" "old:mature" "couch:sofa" "candy:sweets" "couch:sofa"
"stick:attach" "bathroom:restroom" "abode:house" "sofa:chair" "sofa:chair" "stick:attach"
"sleep:doze" "music:tunes" "ugly:hideous" "room:chamber" "room:chamber" "ugly:hideous"
"careful:cautious" "option:choice" "beautiful:pretty" "house:abode" "option:choice" "beautiful:pretty"
"cute:adorable" "urban:city" "restroom:bathroom" "raise:elevate" "urban:city" "raise:elevate"
"flammable:inflammable" "make:manufacture" "seat:chair" "large:big" "flammable:inflammable" "seat:chair"
"big:large" "dress:frock" "spectacles:glasses" "sweets:candy" "sweets:candy" "big:large"
"pretty:beautiful" "spin:twirl" "house:dwelling" "pants:trousers" "house:dwelling" "pants:trousers"
"glass:cup" "dream:fantasize" "organization:club" "boat:ship" "boat:ship" "glass:cup"
"tedious:monotonous" "big:large" "cellphone:mobile" "abode:house" "big:large" "tedious:monotonous"
"cute:adorable" "seat:chair" "music:tunes" "dream:fantasize" "seat:chair" "dream:fantasize"
"urban:city" "large:big" "pants:trousers" "house:home" "house:home" "urban:city"
"house:dwelling" "ugly:hideous" "spectacles:glasses" "raise:elevate" "house:dwelling" "ugly:hideous"
"house:abode" "boat:ship" "make:manufacture" "teach:instruct" "teach:instruct" "boat:ship"
"couch:sofa" "option:choice" "old:mature" "beautiful:pretty" "option:choice" "beautiful:pretty"
"pretty:beautiful" "flammable:inflammable" "kid:child" "candy:sweets" "flammable:inflammable" "kid:child"
"run:sprint" "room:chamber" "spin:twirl" "tedious:monotonous" "room:chamber" "tedious:monotonous"
"organization:club" "bathroom:restroom" "sofa:chair" "sweets:candy" "sweets:candy" "organization:club"
"clean:tidy" "careful:cautious" "dress:frock" "glass:cup" "glass:cup" "dress:frock"
"bathroom:lavatory" "restroom:bathroom" "sleep:doze" "stick:attach" "stick:attach" "bathroom:lavatory"
"glass:cup" "house:abode" "boat:ship" "dream:fantasize" "boat:ship" "glass:cup"
"teach:instruct" "couch:sofa" "sleep:doze" "flammable:inflammable" "flammable:inflammable" "teach:instruct"
"house:dwelling" "pretty:beautiful" "organization:club" "option:choice" "house:dwelling" "option:choice"
"ugly:hideous" "sweets:candy" "spectacles:glasses" "bathroom:restroom" "sweets:candy" "ugly:hideous"
"urban:city" "candy:sweets" "make:manufacture" "tedious:monotonous" "urban:city" "tedious:monotonous"
"beautiful:pretty" "large:big" "cellphone:mobile" "raise:elevate" "beautiful:pretty" "raise:elevate"
"bathroom:lavatory" "room:chamber" "clean:tidy" "cute:adorable" "room:chamber" "bathroom:lavatory"
"music:tunes" "big:large" "house:home" "run:sprint" "big:large" "house:home"
"old:mature" "spin:twirl" "stick:attach" "dress:frock" "dress:frock" "stick:attach"
"abode:house" "kid:child" "sofa:chair" "pants:trousers" "kid:child" "pants:trousers"
"restroom:bathroom" "careful:cautious" "seat:chair" "beautiful:pretty" "seat:chair" "beautiful:pretty"
"kid:child" "dream:fantasize" "stick:attach" "spectacles:glasses" "spectacles:glasses" "kid:child"
"sweets:candy" "house:abode" "tedious:monotonous" "old:mature" "sweets:candy" "tedious:monotonous"
"boat:ship" "cellphone:mobile" "flammable:inflammable" "seat:chair" "flammable:inflammable" "seat:chair"
"make:manufacture" "large:big" "candy:sweets" "clean:tidy" "candy:sweets" "clean:tidy"
"bathroom:lavatory" "big:large" "glass:cup" "careful:cautious" "big:large" "glass:cup"
"pants:trousers" "spin:twirl" "sleep:doze" "music:tunes" "pants:trousers" "sleep:doze"
"room:chamber" "house:dwelling" "urban:city" "house:home" "room:chamber" "house:dwelling"
"teach:instruct" "dress:frock" "restroom:bathroom" "abode:house" "teach:instruct" "dress:frock"
"pretty:beautiful" "sofa:chair" "organization:club" "cute:adorable" "organization:club" "pretty:beautiful"
"raise:elevate" "ugly:hideous" "option:choice" "couch:sofa" "option:choice" "ugly:hideous"
"run:sprint" "bathroom:restroom" "spectacles:glasses" "tedious:monotonous" "tedious:monotonous" "spectacles:glasses"
"sleep:doze" "ugly:hideous" "couch:sofa" "boat:ship" "ugly:hideous" "boat:ship"
"sofa:chair" "house:dwelling" "run:sprint" "house:home" "house:dwelling" "house:home"
"spin:twirl" "old:mature" "make:manufacture" "pretty:beautiful" "pretty:beautiful" "make:manufacture"
"cute:adorable" "sweets:candy" "large:big" "clean:tidy" "sweets:candy" "clean:tidy"
"music:tunes" "pants:trousers" "bathroom:lavatory" "room:chamber" "room:chamber" "pants:trousers"
"beautiful:pretty" "candy:sweets" "stick:attach" "teach:instruct" "teach:instruct" "beautiful:pretty"
"glass:cup" "cellphone:mobile" "house:abode" "careful:cautious" "glass:cup" "house:abode"
"bathroom:restroom" "kid:child" "raise:elevate" "option:choice" "option:choice" "kid:child"
"big:large" "urban:city" "seat:chair" "restroom:bathroom" "big:large" "urban:city"
"dress:frock" "organization:club" "dream:fantasize" "abode:house" "dress:frock" "organization:club"
"flammable:inflammable" "stick:attach" "sofa:chair" "house:dwelling" "house:dwelling" "flammable:inflammable"
"large:big" "sleep:doze" "cellphone:mobile" "organization:club" "organization:club" "sleep:doze"
"teach:instruct" "bathroom:restroom" "pretty:beautiful" "dream:fantasize" "teach:instruct" "pretty:beautiful"
"big:large" "flammable:inflammable" "careful:cautious" "old:mature" "big:large" "flammable:inflammable"
"clean:tidy" "raise:elevate" "run:sprint" "ugly:hideous" "ugly:hideous" "raise:elevate"
"pants:trousers" "house:abode" "restroom:bathroom" "dress:frock" "pants:trousers" "dress:frock"
"spectacles:glasses" "couch:sofa" "spin:twirl" "glass:cup" "spectacles:glasses" "glass:cup"
"cute:adorable" "sweets:candy" "house:home" "abode:house" "sweets:candy" "house:home"
"kid:child" "option:choice" "beautiful:pretty" "room:chamber" "room:chamber" "option:choice"
"music:tunes" "bathroom:lavatory" "urban:city" "make:manufacture" "urban:city" "bathroom:lavatory"
"candy:sweets" "boat:ship" "seat:chair" "tedious:monotonous" "seat:chair" "tedious:monotonous"
"sleep:doze" "house:home" "bathroom:restroom" "make:manufacture" "house:home" "sleep:doze"
"careful:cautious" "abode:house" "sweets:candy" "beautiful:pretty" "sweets:candy" "beautiful:pretty"
"glass:cup" "spin:twirl" "tedious:monotonous" "large:big" "tedious:monotonous" "glass:cup"
"pants:trousers" "spectacles:glasses" "seat:chair" "clean:tidy" "seat:chair" "spectacles:glasses"
"dress:frock" "organization:club" "music:tunes" "cute:adorable" "dress:frock" "organization:club"
"house:dwelling" "big:large" "pretty:beautiful" "raise:elevate" "house:dwelling" "big:large"
