"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "books:scholar" "lyrics:songwriter"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "mansion:rooms" "teacher:students"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "librarian:books" "proprietor:employees"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "expert:experience"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "mall:shops" "professor:students"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "baker:bread"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "students:teacher" "scholar:books"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "garden:vegetables" "bee:beehive"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "vintner:wine" "college:teachers"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "students:teacher" "teacher:students"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "bird:feathers" "house:residents"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "vintner:wine" "proprietor:employees"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "garden:vegetables" "tree:bark"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "librarian:books" "bank:money"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "musician:music" "investor:investments"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "mall:shops" "baker:bread"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "mother:children" "library:books"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "mansion:rooms" "bee:beehive"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "lawyer:clients" "homeowner:door"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "professor:students" "mother:children"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "students:teacher" "librarian:books"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "mall:shops" "bee:beehive"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "scholar:books" "expert:experience"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "employee:job" "proprietor:employees"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "garden:vegetables" "teacher:students"
"investor:investments" "letters:words" "words:letters" "college:teachers" "investor:investments" "college:teachers"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "mansion:rooms" "vintner:wine"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "garden:vegetables" "bank:money"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "college:teachers"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "vintner:wine" "baker:bread"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "bank:money" "employee:job"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "students:teacher" "investor:investments"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "mansion:rooms" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "teacher:students" "farmer:crops"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "mall:shops" "librarian:books"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "homeowner:home" "bird:feathers"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "tree:bark" "scholar:books"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "college:teachers" "bird:feathers"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "mansion:rooms" "students:teacher"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "farmer:crops" "jug:milk"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "vintner:wine" "proprietor:employees"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "garden:vegetables" "tree:bark"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "scholar:books" "employee:job"
"professor:students" "expert:experience" "mother:children" "books:scholar" "expert:experience" "professor:students"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "teacher:students"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "homeowner:home"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "mall:shops" "librarian:books"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "garden:vegetables" "investor:investments"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "words:letters"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "mansion:rooms" "vintner:wine"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "tree:bark" "scholar:books"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "employee:job" "mammal:hair"
"teacher:students" "professor:students" "house:residents" "investor:investments" "teacher:students" "investor:investments"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "mall:shops" "bank:money"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "baker:bread" "college:teachers"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "shrubs:roots"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "books:scholar"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "mansion:rooms" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "garden:vegetables" "employee:job"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "students:teacher" "musician:music"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "homeowner:home"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "baker:bread" "expert:experience"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "professor:students"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "librarian:books" "college:teachers"
"mall:shops" "letters:words" "house:residents" "tree:bark" "mall:shops" "tree:bark"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "vintner:wine" "library:books"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "teacher:students" "investor:investments"
