"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "words:letters" "books:scholar"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "farmer:crops" "teacher:students"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "librarian:books" "proprietor:employees"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "expert:experience"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "mall:shops" "teacher:chalk"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "baker:bread"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "students:teacher" "library:books"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "garden:vegetables" "bee:beehive"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "shrubs:roots" "vintner:wine"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "investor:investments" "teacher:students"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "house:residents" "bird:feathers"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "vintner:wine" "proprietor:employees"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "garden:vegetables" "farmer:crops"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bank:money" "librarian:books"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "investor:investments" "musician:music"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "mall:shops" "baker:bread"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "library:books" "homeowner:door"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "shrubs:roots" "bee:beehive"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "homeowner:door" "letters:words"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "bird:wings" "mother:children"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "shrubs:roots" "students:teacher"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "mall:shops" "bee:beehive"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "expert:experience" "songwriter:lyrics"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "employee:job" "proprietor:employees"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "garden:vegetables" "baker:bread"
"investor:investments" "letters:words" "words:letters" "college:teachers" "investor:investments" "college:teachers"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "vintner:wine" "doctor:degree"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "garden:vegetables" "farmer:crops"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "college:teachers"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "vintner:wine" "baker:bread"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "bank:money" "employee:job"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "investor:investments" "students:teacher"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "library:books" "mansion:rooms"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "shrubs:roots" "farmer:crops"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "mall:shops" "librarian:books"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "homeowner:home" "songwriter:lyrics"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "tree:bark" "jug:milk"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "college:teachers" "bird:feathers"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "musician:music" "students:teacher"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "farmer:crops" "jug:milk"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "vintner:wine" "bee:beehive"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "garden:vegetables" "tree:bark"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "employee:job" "doctor:degree"
"professor:students" "expert:experience" "mother:children" "books:scholar" "expert:experience" "mother:children"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "shrubs:roots" "bank:money"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "homeowner:home"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "mall:shops" "librarian:books"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "investor:investments" "garden:vegetables"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "words:letters"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "vintner:wine" "expert:experience"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "farmer:crops" "tree:bark"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "employee:job" "bird:wings"
"teacher:students" "professor:students" "house:residents" "investor:investments" "investor:investments" "teacher:students"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "mall:shops" "bank:money"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "baker:bread" "college:teachers"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "shrubs:roots" "musician:music"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "library:books"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "songwriter:lyrics" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "garden:vegetables" "farmer:crops"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "students:teacher"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "homeowner:home" "gas:refinery"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "baker:bread" "expert:experience"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "doctor:degree"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "college:teachers" "librarian:books"
