"foot:inch" "air:puff" "page:paragraph" "pie:slices" "page:paragraph" "air:puff"
"scene:movie" "feet:inches" "instant:nanosecond" "poem:verses" "feet:inches" "scene:movie"
"pound:ounce" "soup:spoonful" "state:county" "gallon:quart" "state:county" "pound:ounce"
"week:day" "school:student" "day:week" "thread:snip" "week:day" "school:student"
"dollar:coins" "seconds:hour" "chain:link" "earthworm:segment" "seconds:hour" "chain:link"
"book:chapter" "hour:seconds" "symphony:movements" "cake:slice" "book:chapter" "symphony:movements"
"body:cell" "book:chapters" "hive:bee" "book:pages" "book:pages" "body:cell"
"pizza:slice" "cloth:fibers" "country:city" "blood:droplets" "country:city" "cloth:fibers"
"chapter:page" "cell:body" "droplets:blood" "movie:scene" "movie:scene" "chapter:page"
"book:page" "quarter:pennies" "song:notes" "gallon:ounce" "book:page" "gallon:ounce"
"forest:tree" "train:car" "quilt:squares" "school:student" "school:student" "quilt:squares"
"symphony:movements" "gallon:quart" "gallon:ounce" "chain:link" "symphony:movements" "gallon:ounce"
"pizza:slice" "cloth:fibers" "instant:nanosecond" "pound:ounce" "pound:ounce" "instant:nanosecond"
"train:car" "hive:bee" "book:chapter" "pie:slices" "book:chapter" "train:car"
"hour:seconds" "body:cell" "cake:slice" "day:week" "body:cell" "day:week"
"foot:inch" "thread:snip" "air:puff" "book:chapters" "thread:snip" "air:puff"
"earthworm:segment" "cell:body" "chapter:page" "blood:droplets" "chapter:page" "cell:body"
"feet:inches" "dollar:coins" "droplets:blood" "seconds:hour" "feet:inches" "seconds:hour"
"page:paragraph" "book:pages" "country:city" "forest:tree" "book:pages" "country:city"
"movie:scene" "scene:movie" "poem:verses" "state:county" "movie:scene" "scene:movie"
"book:page" "week:day" "soup:spoonful" "quarter:pennies" "book:page" "week:day"
"song:notes" "quilt:squares" "pound:ounce" "body:cell" "body:cell" "quilt:squares"
"chain:link" "song:notes" "droplets:blood" "book:chapter" "book:chapter" "droplets:blood"
"air:puff" "gallon:ounce" "dollar:coins" "earthworm:segment" "gallon:ounce" "earthworm:segment"
"thread:snip" "quilt:squares" "chapter:page" "hour:seconds" "quilt:squares" "chapter:page"
"cake:slice" "state:county" "instant:nanosecond" "page:paragraph" "state:county" "page:paragraph"
"gallon:quart" "hive:bee" "foot:inch" "country:city" "country:city" "gallon:quart"
"book:chapters" "scene:movie" "cloth:fibers" "pie:slices" "scene:movie" "book:chapters"
"day:week" "feet:inches" "soup:spoonful" "book:pages" "book:pages" "feet:inches"
"blood:droplets" "forest:tree" "quarter:pennies" "movie:scene" "movie:scene" "quarter:pennies"
"week:day" "cell:body" "pizza:slice" "train:car" "week:day" "cell:body"
"book:page" "school:student" "symphony:movements" "poem:verses" "book:page" "symphony:movements"
"seconds:hour" "hive:bee" "state:county" "earthworm:segment" "seconds:hour" "state:county"
"dollar:coins" "book:page" "cake:slice" "hour:seconds" "book:page" "hour:seconds"
"school:student" "gallon:quart" "book:pages" "foot:inch" "book:pages" "school:student"
"cloth:fibers" "movie:scene" "train:car" "droplets:blood" "movie:scene" "droplets:blood"
"blood:droplets" "country:city" "pie:slices" "thread:snip" "country:city" "thread:snip"
"air:puff" "quarter:pennies" "soup:spoonful" "week:day" "week:day" "soup:spoonful"
"cell:body" "chain:link" "feet:inches" "gallon:ounce" "feet:inches" "gallon:ounce"
"page:paragraph" "chapter:page" "scene:movie" "seconds:hour" "seconds:hour" "scene:movie"
"pound:ounce" "forest:tree" "book:chapter" "symphony:movements" "book:chapter" "symphony:movements"
"body:cell" "quilt:squares" "poem:verses" "instant:nanosecond" "body:cell" "quilt:squares"
"song:notes" "day:week" "pizza:slice" "book:chapters" "day:week" "book:chapters"
"week:day" "movie:scene" "pound:ounce" "feet:inches" "feet:inches" "week:day"
"cloth:fibers" "train:car" "earthworm:segment" "gallon:quart" "earthworm:segment" "train:car"
"droplets:blood" "book:page" "soup:spoonful" "dollar:coins" "book:page" "droplets:blood"
"instant:nanosecond" "pizza:slice" "body:cell" "foot:inch" "body:cell" "instant:nanosecond"
"cake:slice" "chapter:page" "chain:link" "forest:tree" "chapter:page" "chain:link"
"book:pages" "pie:slices" "gallon:ounce" "cell:body" "book:pages" "gallon:ounce"
"seconds:hour" "state:county" "thread:snip" "country:city" "seconds:hour" "country:city"
"air:puff" "book:chapter" "scene:movie" "book:chapters" "book:chapter" "scene:movie"
"school:student" "blood:droplets" "poem:verses" "song:notes" "school:student" "song:notes"
"day:week" "hour:seconds" "page:paragraph" "symphony:movements" "symphony:movements" "day:week"
"quilt:squares" "hive:bee" "quarter:pennies" "state:county" "quilt:squares" "state:county"
"gallon:ounce" "pizza:slice" "cloth:fibers" "gallon:quart" "gallon:ounce" "cloth:fibers"
"book:pages" "day:week" "pound:ounce" "body:cell" "book:pages" "body:cell"
"quilt:squares" "chain:link" "foot:inch" "hive:bee" "quilt:squares" "chain:link"
"cell:body" "train:car" "feet:inches" "air:puff" "feet:inches" "cell:body"
"forest:tree" "book:chapter" "scene:movie" "instant:nanosecond" "book:chapter" "scene:movie"
"quarter:pennies" "symphony:movements" "thread:snip" "earthworm:segment" "symphony:movements" "earthworm:segment"
"song:notes" "page:paragraph" "soup:spoonful" "movie:scene" "movie:scene" "page:paragraph"
"book:page" "school:student" "hour:seconds" "poem:verses" "book:page" "school:student"
"dollar:coins" "country:city" "week:day" "blood:droplets" "week:day" "country:city"
"cake:slice" "seconds:hour" "chapter:page" "droplets:blood" "seconds:hour" "chapter:page"
"book:chapters" "pie:slices" "hive:bee" "blood:droplets" "book:chapters" "pie:slices"
"week:day" "book:pages" "cake:slice" "country:city" "book:pages" "week:day"
"hour:seconds" "quilt:squares" "pizza:slice" "quarter:pennies" "quilt:squares" "hour:seconds"
"body:cell" "gallon:quart" "scene:movie" "droplets:blood" "body:cell" "scene:movie"
"book:chapters" "dollar:coins" "book:chapter" "school:student" "book:chapter" "school:student"
"song:notes" "earthworm:segment" "cloth:fibers" "thread:snip" "earthworm:segment" "thread:snip"
"air:puff" "state:county" "day:week" "page:paragraph" "day:week" "state:county"
"symphony:movements" "movie:scene" "feet:inches" "cell:body" "feet:inches" "symphony:movements"
"chapter:page" "chain:link" "foot:inch" "book:page" "book:page" "chapter:page"
"seconds:hour" "forest:tree" "instant:nanosecond" "soup:spoonful" "seconds:hour" "instant:nanosecond"
"poem:verses" "pound:ounce" "train:car" "gallon:ounce" "gallon:ounce" "pound:ounce"
"pie:slices" "feet:inches" "dollar:coins" "quarter:pennies" "feet:inches" "dollar:coins"
"soup:spoonful" "book:pages" "cake:slice" "scene:movie" "book:pages" "scene:movie"
"gallon:ounce" "droplets:blood" "country:city" "foot:inch" "country:city" "gallon:ounce"
"pizza:slice" "instant:nanosecond" "book:chapters" "cell:body" "cell:body" "instant:nanosecond"
"week:day" "book:page" "quilt:squares" "forest:tree" "book:page" "week:day"
"chapter:page" "train:car" "hour:seconds" "book:chapter" "book:chapter" "chapter:page"
"thread:snip" "gallon:quart" "song:notes" "day:week" "day:week" "thread:snip"
"cloth:fibers" "page:paragraph" "chain:link" "body:cell" "body:cell" "chain:link"
"hive:bee" "blood:droplets" "earthworm:segment" "state:county" "state:county" "earthworm:segment"
"seconds:hour" "school:student" "pound:ounce" "symphony:movements" "seconds:hour" "symphony:movements"
"poem:verses" "movie:scene" "air:puff" "pie:slices" "movie:scene" "air:puff"
"blood:droplets" "chain:link" "soup:spoonful" "book:chapter" "book:chapter" "chain:link"
"feet:inches" "book:pages" "earthworm:segment" "song:notes" "book:pages" "feet:inches"
"cell:body" "symphony:movements" "forest:tree" "quilt:squares" "symphony:movements" "quilt:squares"
"state:county" "poem:verses" "school:student" "droplets:blood" "school:student" "state:county"
"body:cell" "week:day" "gallon:quart" "seconds:hour" "body:cell" "seconds:hour"
"train:car" "book:chapters" "chapter:page" "page:paragraph" "chapter:page" "page:paragraph"
"pound:ounce" "day:week" "book:page" "hour:seconds" "book:page" "day:week"
"pie:slices" "movie:scene" "gallon:ounce" "foot:inch" "gallon:ounce" "movie:scene"
"air:puff" "country:city" "cloth:fibers" "cake:slice" "country:city" "air:puff"
"thread:snip" "dollar:coins" "quarter:pennies" "instant:nanosecond" "instant:nanosecond" "thread:snip"
"hive:bee" "pizza:slice" "scene:movie" "feet:inches" "feet:inches" "scene:movie"
"song:notes" "country:city" "earthworm:segment" "instant:nanosecond" "country:city" "instant:nanosecond"
"air:puff" "school:student" "scene:movie" "thread:snip" "school:student" "scene:movie"
"train:car" "quarter:pennies" "symphony:movements" "week:day" "week:day" "symphony:movements"
"gallon:ounce" "seconds:hour" "movie:scene" "hive:bee" "seconds:hour" "gallon:ounce"
"blood:droplets" "body:cell" "book:pages" "droplets:blood" "book:pages" "body:cell"
"soup:spoonful" "cell:body" "day:week" "quilt:squares" "quilt:squares" "day:week"
"gallon:quart" "book:chapter" "book:page" "state:county" "book:chapter" "book:page"
"forest:tree" "chapter:page" "page:paragraph" "cloth:fibers" "chapter:page" "page:paragraph"
"pie:slices" "poem:verses" "book:chapters" "hour:seconds" "hour:seconds" "book:chapters"
"dollar:coins" "chain:link" "pizza:slice" "pound:ounce" "pound:ounce" "chain:link"
"foot:inch" "cake:slice" "pound:ounce" "day:week" "day:week" "pound:ounce"
