"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "refinery:gas" "books:scholar"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "house:residents" "mansion:rooms"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "mother:children" "proprietor:employees"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "lawyer:clients" "musician:music"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "professor:students" "mall:shops"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "baker:bread" "tree:bark"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "scholar:books" "students:teacher"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "garden:vegetables" "bee:beehive"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "shrubs:roots" "vintner:wine"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "investor:investments" "students:teacher"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "house:residents" "bird:feathers"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "vintner:wine" "proprietor:employees"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "garden:vegetables" "farmer:crops"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bank:money" "librarian:books"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "investor:investments" "musician:music"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "mall:shops"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "mother:children" "homeowner:door"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "shrubs:roots" "mansion:rooms"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "lawyer:clients" "homeowner:door"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "mother:children" "professor:students"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "shrubs:roots" "house:residents"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "mall:shops" "bird:feathers"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "scholar:books" "expert:experience"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "lawyer:clients" "employee:job"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "garden:vegetables" "baker:bread"
"investor:investments" "letters:words" "words:letters" "college:teachers" "investor:investments" "college:teachers"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "vintner:wine" "mansion:rooms"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "tree:bark" "musician:music"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "garden:vegetables" "farmer:crops"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "college:teachers"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "mother:children" "vintner:wine"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "house:residents" "bank:money"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "investor:investments" "lawyer:clients"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "mansion:rooms" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "shrubs:roots" "farmer:crops"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "mall:shops" "librarian:books"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "homeowner:home" "songwriter:lyrics"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "tree:bark" "scholar:books"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "college:teachers" "bird:feathers"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "mansion:rooms" "musician:music"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "farmer:crops" "letters:words"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "lawyer:clients" "vintner:wine"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "garden:vegetables" "tree:bark"
