"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "farmer:crops" "house:residents"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "proprietor:employees" "mother:children"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "homeowner:home"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "professor:students" "doctor:phd"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "baker:bread" "tree:bark"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "bird:feathers" "scholar:books"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "bee:beehive" "mammal:hair"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "vintner:wine" "bird:wings"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "investor:investments" "students:teacher"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "bird:feathers" "house:residents"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "proprietor:employees" "vintner:wine"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "farmer:crops" "scholar:books"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bank:money" "bird:wings"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "musician:music" "investor:investments"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "mall:shops"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "mother:children" "homeowner:door"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "mansion:rooms" "homeowner:home"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "lawyer:clients" "homeowner:door"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "mother:children" "bird:wings"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "house:residents" "students:teacher"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "bird:feathers" "bee:beehive"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "scholar:books" "expert:experience"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "proprietor:employees" "employee:job"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "baker:bread" "doctor:phd"
"investor:investments" "letters:words" "words:letters" "college:teachers" "investor:investments" "college:teachers"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "vintner:wine" "mansion:rooms"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "farmer:crops" "bank:money"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "college:teachers"
