"thunder:lightning" "moisture:cloud" "wrinkle:age" "sign:direction" "sign:direction" "moisture:cloud"
"help:cry" "anger:glare" "flag:nation" "bell:dinner" "help:cry" "flag:nation"
"cloud:moisture" "glare:anger" "valentine:love" "rain:storm" "rain:storm" "cloud:moisture"
"alarm:action" "smoke:fire" "red:stop" "citation:violation" "smoke:fire" "alarm:action"
"license:permission" "thunder:storm" "cry:help" "smile:happiness" "cry:help" "license:permission"
"badge:authority" "yellow:caution" "compass:direction" "love:valentine" "compass:direction" "yellow:caution"
"crown:royalty" "engagement:wedding" "pregnancy:baby" "thunder:storm" "pregnancy:baby" "engagement:wedding"
"crown:royalty" "valentine:love" "license:permission" "thunder:lightning" "license:permission" "thunder:lightning"
"cross:faith" "surgery:hospital" "handshake:agreement" "diploma:education" "surgery:hospital" "cross:faith"
"smoke:fire" "red:stop" "pregnancy:baby" "badge:authority" "pregnancy:baby" "smoke:fire"
"warning:trouble" "smile:happiness" "moisture:cloud" "yellow:caution" "moisture:cloud" "smile:happiness"
"green:go" "glare:anger" "anger:glare" "love:valentine" "green:go" "glare:anger"
"citation:violation" "help:cry" "crown:sovereignty" "rain:storm" "rain:storm" "help:cry"
"shriek:panic" "sign:direction" "pregnancy:baby" "thunder:storm" "pregnancy:baby" "sign:direction"
"moisture:cloud" "citation:violation" "help:cry" "wrinkle:age" "help:cry" "moisture:cloud"
"love:valentine" "shriek:panic" "thunder:lightning" "smile:happiness" "smile:happiness" "thunder:lightning"
"surgery:hospital" "crown:royalty" "alarm:action" "cross:faith" "surgery:hospital" "cross:faith"
"license:permission" "valentine:love" "compass:direction" "smoke:fire" "smoke:fire" "license:permission"
"doctor:diagnosis" "cloud:moisture" "red:stop" "crown:sovereignty" "doctor:diagnosis" "cloud:moisture"
"handshake:agreement" "thunder:lightning" "compass:direction" "warning:trouble" "compass:direction" "thunder:lightning"
"green:go" "alarm:action" "valentine:love" "pregnancy:baby" "pregnancy:baby" "green:go"
"moisture:cloud" "smoke:fire" "glare:anger" "cry:help" "cry:help" "smoke:fire"
"flag:nation" "cloud:moisture" "wrinkle:age" "shriek:panic" "cloud:moisture" "flag:nation"
"surgery:hospital" "rain:storm" "citation:violation" "smile:happiness" "rain:storm" "surgery:hospital"
"anger:glare" "yellow:caution" "smoke:fire" "compass:direction" "smoke:fire" "compass:direction"
"pregnancy:baby" "thunder:lightning" "moisture:cloud" "thunder:storm" "pregnancy:baby" "moisture:cloud"
"rain:storm" "glare:anger" "red:stop" "bell:dinner" "rain:storm" "red:stop"
"handshake:agreement" "green:go" "buzzer:end" "wrinkle:age" "green:go" "buzzer:end"
"citation:violation" "sign:direction" "valentine:love" "engagement:wedding" "engagement:wedding" "sign:direction"
"crown:royalty" "rain:storm" "diploma:education" "thunder:lightning" "rain:storm" "thunder:lightning"
"sign:direction" "cross:faith" "help:cry" "love:valentine" "help:cry" "cross:faith"
"doctor:diagnosis" "alarm:action" "smile:happiness" "cloud:moisture" "doctor:diagnosis" "cloud:moisture"
"green:go" "handshake:agreement" "flag:nation" "surgery:hospital" "surgery:hospital" "green:go"
"anger:glare" "compass:direction" "engagement:wedding" "shriek:panic" "engagement:wedding" "compass:direction"
"moisture:cloud" "red:stop" "glare:anger" "valentine:love" "moisture:cloud" "red:stop"
"cry:help" "bell:dinner" "license:permission" "badge:authority" "cry:help" "license:permission"
"flag:nation" "bell:dinner" "smoke:fire" "warning:trouble" "smoke:fire" "flag:nation"
"wrinkle:age" "cloud:moisture" "red:stop" "moisture:cloud" "moisture:cloud" "cloud:moisture"
"sign:direction" "diploma:education" "handshake:agreement" "help:cry" "help:cry" "sign:direction"
"engagement:wedding" "valentine:love" "crown:royalty" "crown:sovereignty" "engagement:wedding" "crown:sovereignty"
"green:go" "alarm:action" "rain:storm" "license:permission" "rain:storm" "green:go"
"smoke:fire" "help:cry" "cry:help" "thunder:storm" "cry:help" "help:cry"
"wrinkle:age" "red:stop" "cloud:moisture" "crown:sovereignty" "cloud:moisture" "red:stop"
"badge:authority" "yellow:caution" "doctor:diagnosis" "buzzer:end" "doctor:diagnosis" "yellow:caution"
"valentine:love" "warning:trouble" "handshake:agreement" "smile:happiness" "smile:happiness" "warning:trouble"
"bell:dinner" "shriek:panic" "citation:violation" "compass:direction" "compass:direction" "citation:violation"
"bell:dinner" "alarm:action" "rain:storm" "citation:violation" "rain:storm" "alarm:action"
"help:cry" "cloud:moisture" "green:go" "compass:direction" "help:cry" "green:go"
"anger:glare" "surgery:hospital" "red:stop" "warning:trouble" "surgery:hospital" "red:stop"
"cry:help" "badge:authority" "flag:nation" "diploma:education" "cry:help" "flag:nation"
"engagement:wedding" "moisture:cloud" "glare:anger" "license:permission" "engagement:wedding" "license:permission"
"smoke:fire" "cross:faith" "love:valentine" "doctor:diagnosis" "doctor:diagnosis" "cross:faith"
"cross:faith" "green:go" "sign:direction" "thunder:lightning" "cross:faith" "green:go"
"anger:glare" "handshake:agreement" "cloud:moisture" "badge:authority" "cloud:moisture" "badge:authority"
"pregnancy:baby" "diploma:education" "warning:trouble" "help:cry" "help:cry" "pregnancy:baby"
"smoke:fire" "compass:direction" "crown:sovereignty" "shriek:panic" "smoke:fire" "compass:direction"
"wrinkle:age" "license:permission" "red:stop" "flag:nation" "license:permission" "flag:nation"
"engagement:wedding" "buzzer:end" "flag:nation" "handshake:agreement" "engagement:wedding" "flag:nation"
