"art:abstract" "bread:wheat" "pet:dog" "dog:pet" "dog:pet" "bread:wheat"
"furniture:chair" "tree:oak" "currency:dollar" "couch:furniture" "currency:dollar" "tree:oak"
"bird:robin" "fruit:grape" "insect:ant" "animal:pig" "insect:ant" "bird:robin"
"hair:brown" "tree:ash" "bush:azalea" "bush:astilbe" "tree:ash" "hair:brown"
"vegetable:carrot" "dollar:currency" "appliance:refrigerator" "color:red" "appliance:refrigerator" "color:red"
"dog:poodle" "footwear:boot" "oak:tree" "furniture:couch" "footwear:boot" "furniture:couch"
"mammal:porpoise" "weapon:spear" "animal:carabao" "dog:chihuahua" "weapon:spear" "mammal:porpoise"
"school:university" "clothing:shirt" "car:mustang" "sweater:knit" "sweater:knit" "car:mustang"
"automobile:van" "wheat:bread" "weather:rain" "politician:senator" "automobile:van" "wheat:bread"
"song:opera" "bird:swan" "jewelry:ring" "pen:ballpoint" "song:opera" "bird:swan"
"rodent:mouse" "tree:oak" "clothing:shirt" "sweater:knit" "sweater:knit" "rodent:mouse"
"weapon:spear" "song:opera" "car:mustang" "dog:chihuahua" "car:mustang" "weapon:spear"
"dog:pet" "weather:rain" "bird:robin" "color:red" "bird:robin" "color:red"
"dollar:currency" "pen:ballpoint" "currency:dollar" "politician:senator" "currency:dollar" "pen:ballpoint"
"furniture:chair" "oak:tree" "animal:carabao" "fruit:grape" "oak:tree" "animal:carabao"
"tree:ash" "footwear:boot" "appliance:refrigerator" "vegetable:carrot" "footwear:boot" "tree:ash"
"bush:azalea" "art:abstract" "jewelry:ring" "bush:astilbe" "jewelry:ring" "bush:azalea"
"bread:wheat" "animal:pig" "wheat:bread" "insect:ant" "insect:ant" "animal:pig"
"dog:poodle" "hair:brown" "automobile:van" "pet:dog" "automobile:van" "hair:brown"
"couch:furniture" "mammal:porpoise" "rodent:mouse" "school:university" "school:university" "mammal:porpoise"
"furniture:couch" "bird:swan" "bush:astilbe" "car:mustang" "car:mustang" "furniture:couch"
"currency:dollar" "furniture:couch" "sweater:knit" "automobile:van" "automobile:van" "sweater:knit"
"dog:poodle" "furniture:chair" "animal:pig" "weather:rain" "animal:pig" "dog:poodle"
"dog:chihuahua" "bush:azalea" "politician:senator" "animal:carabao" "animal:carabao" "bush:azalea"
"bird:robin" "bird:swan" "mammal:porpoise" "dog:pet" "bird:swan" "bird:robin"
"couch:furniture" "vegetable:carrot" "pen:ballpoint" "appliance:refrigerator" "appliance:refrigerator" "couch:furniture"
"rodent:mouse" "song:opera" "footwear:boot" "hair:brown" "footwear:boot" "song:opera"
