"tree:sapling" "sadness:despair" "fire:flame" "aversion:hatred" "sadness:despair" "fire:flame"
"chimpanzee:gorilla" "beer:wine" "sadness:melancholia" "lion:tiger" "beer:wine" "sadness:melancholia"
"ring:peal" "silt:sediment" "pots:pans" "ocean:sea" "ring:peal" "pots:pans"
"giggle:laugh" "ennui:boredom" "toast:bake" "pain:agony" "toast:bake" "ennui:boredom"
"affection:love" "hate:detest" "sapling:tree" "chuckle:guffaw" "sapling:tree" "hate:detest"
"run:zoom" "wine:beer" "sedan:coupe" "disdain:hatred" "sedan:coupe" "wine:beer"
"happiness:joy" "heat:warm" "shriek:scream" "trip:vacation" "trip:vacation" "shriek:scream"
"eagerness:avidity" "clever:ingenious" "sediment:silt" "love:adore" "sediment:silt" "clever:ingenious"
"sea:ocean" "shower:pour" "road:highway" "jog:run" "sea:ocean" "shower:pour"
"roast:char" "field:meadow" "movie:film" "coupe:sedan" "field:meadow" "roast:char"
"pour:shower" "fast:quick" "horse:pony" "hate:detest" "pour:shower" "hate:detest"
"sediment:silt" "sea:ocean" "giggle:laugh" "horse:pony" "sea:ocean" "sediment:silt"
"sadness:despair" "lion:tiger" "fast:quick" "chuckle:guffaw" "fast:quick" "lion:tiger"
"chimpanzee:gorilla" "happiness:joy" "aversion:hatred" "ocean:sea" "chimpanzee:gorilla" "happiness:joy"
"sedan:coupe" "love:adore" "shower:pour" "shriek:scream" "sedan:coupe" "shriek:scream"
"fire:flame" "run:zoom" "disdain:hatred" "heat:warm" "heat:warm" "disdain:hatred"
"coupe:sedan" "ring:peal" "pain:agony" "movie:film" "ring:peal" "movie:film"
"sapling:tree" "toast:bake" "eagerness:avidity" "trip:vacation" "sapling:tree" "toast:bake"
"sadness:melancholia" "wine:beer" "clever:ingenious" "silt:sediment" "clever:ingenious" "silt:sediment"
"roast:char" "ennui:boredom" "pour:shower" "beer:wine" "pour:shower" "beer:wine"
"affection:love" "jog:run" "tree:sapling" "field:meadow" "field:meadow" "affection:love"
"road:highway" "pots:pans" "lion:tiger" "ring:peal" "ring:peal" "pots:pans"
"disdain:hatred" "fire:flame" "heat:warm" "hate:detest" "hate:detest" "heat:warm"
"love:adore" "ocean:sea" "pour:shower" "eagerness:avidity" "pour:shower" "eagerness:avidity"
"giggle:laugh" "toast:bake" "pots:pans" "chuckle:guffaw" "toast:bake" "pots:pans"
"jog:run" "beer:wine" "ennui:boredom" "horse:pony" "beer:wine" "ennui:boredom"
"sadness:melancholia" "coupe:sedan" "sadness:despair" "fast:quick" "sadness:melancholia" "fast:quick"
"aversion:hatred" "silt:sediment" "pain:agony" "field:meadow" "field:meadow" "silt:sediment"
"movie:film" "road:highway" "sea:ocean" "wine:beer" "sea:ocean" "wine:beer"
"clever:ingenious" "roast:char" "shriek:scream" "tree:sapling" "clever:ingenious" "shriek:scream"
"sapling:tree" "trip:vacation" "affection:love" "shower:pour" "sapling:tree" "trip:vacation"
"sedan:coupe" "sediment:silt" "chimpanzee:gorilla" "happiness:joy" "sedan:coupe" "sediment:silt"
"run:zoom" "tree:sapling" "movie:film" "jog:run" "movie:film" "jog:run"
"roast:char" "ocean:sea" "ring:peal" "trip:vacation" "ring:peal" "trip:vacation"
"chimpanzee:gorilla" "sadness:despair" "fire:flame" "beer:wine" "beer:wine" "chimpanzee:gorilla"
"toast:bake" "hate:detest" "sapling:tree" "sedan:coupe" "sapling:tree" "sedan:coupe"
"pots:pans" "pain:agony" "aversion:hatred" "disdain:hatred" "pots:pans" "disdain:hatred"
"ennui:boredom" "love:adore" "clever:ingenious" "run:zoom" "clever:ingenious" "ennui:boredom"
"silt:sediment" "sadness:melancholia" "wine:beer" "happiness:joy" "silt:sediment" "sadness:melancholia"
"field:meadow" "chuckle:guffaw" "lion:tiger" "shriek:scream" "field:meadow" "shriek:scream"
"heat:warm" "shower:pour" "sea:ocean" "eagerness:avidity" "sea:ocean" "eagerness:avidity"
"horse:pony" "pour:shower" "road:highway" "sediment:silt" "pour:shower" "sediment:silt"
"fast:quick" "coupe:sedan" "affection:love" "giggle:laugh" "affection:love" "fast:quick"
"field:meadow" "sedan:coupe" "giggle:laugh" "pour:shower" "pour:shower" "sedan:coupe"
"sadness:despair" "road:highway" "chuckle:guffaw" "fire:flame" "chuckle:guffaw" "road:highway"
"jog:run" "eagerness:avidity" "chimpanzee:gorilla" "hate:detest" "hate:detest" "eagerness:avidity"
"toast:bake" "ennui:boredom" "disdain:hatred" "aversion:hatred" "toast:bake" "ennui:boredom"
"run:zoom" "coupe:sedan" "silt:sediment" "tree:sapling" "silt:sediment" "coupe:sedan"
"fast:quick" "love:adore" "sea:ocean" "roast:char" "sea:ocean" "fast:quick"
"ocean:sea" "happiness:joy" "pots:pans" "beer:wine" "beer:wine" "pots:pans"
"pain:agony" "ring:peal" "trip:vacation" "horse:pony" "ring:peal" "trip:vacation"
"heat:warm" "clever:ingenious" "affection:love" "sadness:melancholia" "clever:ingenious" "affection:love"
"sediment:silt" "wine:beer" "sapling:tree" "shower:pour" "sapling:tree" "sediment:silt"
"movie:film" "shriek:scream" "lion:tiger" "aversion:hatred" "shriek:scream" "lion:tiger"
"jog:run" "trip:vacation" "coupe:sedan" "toast:bake" "toast:bake" "trip:vacation"
"tree:sapling" "sadness:despair" "movie:film" "ocean:sea" "movie:film" "sadness:despair"
"fire:flame" "pots:pans" "happiness:joy" "hate:detest" "hate:detest" "pots:pans"
"heat:warm" "lion:tiger" "shriek:scream" "affection:love" "affection:love" "shriek:scream"
"sea:ocean" "sedan:coupe" "clever:ingenious" "pour:shower" "pour:shower" "sedan:coupe"
"run:zoom" "pain:agony" "love:adore" "beer:wine" "beer:wine" "love:adore"
"ring:peal" "fast:quick" "road:highway" "sapling:tree" "sapling:tree" "ring:peal"
"chimpanzee:gorilla" "chuckle:guffaw" "sediment:silt" "wine:beer" "sediment:silt" "wine:beer"
"disdain:hatred" "silt:sediment" "shower:pour" "sadness:melancholia" "shower:pour" "silt:sediment"
"roast:char" "horse:pony" "eagerness:avidity" "giggle:laugh" "eagerness:avidity" "roast:char"
"ennui:boredom" "field:meadow" "sadness:despair" "sea:ocean" "sea:ocean" "field:meadow"
"pour:shower" "giggle:laugh" "chimpanzee:gorilla" "sedan:coupe" "pour:shower" "sedan:coupe"
"love:adore" "horse:pony" "disdain:hatred" "heat:warm" "heat:warm" "disdain:hatred"
"lion:tiger" "jog:run" "shower:pour" "trip:vacation" "trip:vacation" "shower:pour"
"sapling:tree" "run:zoom" "movie:film" "pain:agony" "sapling:tree" "movie:film"
"tree:sapling" "aversion:hatred" "sadness:melancholia" "chuckle:guffaw" "sadness:melancholia" "chuckle:guffaw"
"silt:sediment" "hate:detest" "shriek:scream" "sediment:silt" "sediment:silt" "hate:detest"
"field:meadow" "pots:pans" "fire:flame" "happiness:joy" "field:meadow" "pots:pans"
"coupe:sedan" "roast:char" "fast:quick" "clever:ingenious" "clever:ingenious" "fast:quick"
"ring:peal" "ennui:boredom" "beer:wine" "road:highway" "beer:wine" "ring:peal"
"ocean:sea" "affection:love" "eagerness:avidity" "wine:beer" "affection:love" "eagerness:avidity"
"toast:bake" "lion:tiger" "happiness:joy" "love:adore" "toast:bake" "lion:tiger"
"toast:bake" "shriek:scream" "field:meadow" "ocean:sea" "toast:bake" "field:meadow"
"pots:pans" "jog:run" "clever:ingenious" "disdain:hatred" "clever:ingenious" "pots:pans"
"wine:beer" "affection:love" "chimpanzee:gorilla" "movie:film" "affection:love" "wine:beer"
"aversion:hatred" "sea:ocean" "fire:flame" "hate:detest" "sea:ocean" "hate:detest"
"sadness:despair" "trip:vacation" "sadness:melancholia" "coupe:sedan" "trip:vacation" "sadness:melancholia"
"ring:peal" "pain:agony" "horse:pony" "beer:wine" "beer:wine" "ring:peal"
"shower:pour" "pour:shower" "ennui:boredom" "sapling:tree" "sapling:tree" "pour:shower"
"silt:sediment" "run:zoom" "chuckle:guffaw" "roast:char" "silt:sediment" "roast:char"
"sedan:coupe" "fast:quick" "sediment:silt" "eagerness:avidity" "sedan:coupe" "sediment:silt"
"tree:sapling" "road:highway" "heat:warm" "giggle:laugh" "heat:warm" "road:highway"
"lion:tiger" "sediment:silt" "coupe:sedan" "hate:detest" "sediment:silt" "hate:detest"
"ocean:sea" "fast:quick" "pain:agony" "clever:ingenious" "clever:ingenious" "fast:quick"
"ennui:boredom" "shower:pour" "eagerness:avidity" "disdain:hatred" "eagerness:avidity" "shower:pour"
"movie:film" "horse:pony" "shriek:scream" "beer:wine" "beer:wine" "shriek:scream"
"love:adore" "sadness:despair" "tree:sapling" "silt:sediment" "silt:sediment" "love:adore"
"chimpanzee:gorilla" "chuckle:guffaw" "toast:bake" "jog:run" "toast:bake" "chuckle:guffaw"
"heat:warm" "pots:pans" "sapling:tree" "pour:shower" "sapling:tree" "pour:shower"
"sedan:coupe" "affection:love" "sea:ocean" "roast:char" "sedan:coupe" "sea:ocean"
"ring:peal" "happiness:joy" "giggle:laugh" "fire:flame" "ring:peal" "happiness:joy"
"road:highway" "run:zoom" "field:meadow" "trip:vacation" "field:meadow" "trip:vacation"
"sadness:melancholia" "wine:beer" "aversion:hatred" "sadness:despair" "sadness:melancholia" "wine:beer"
"disdain:hatred" "pain:agony" "hate:detest" "ring:peal" "ring:peal" "hate:detest"
"chimpanzee:gorilla" "shower:pour" "chuckle:guffaw" "aversion:hatred" "shower:pour" "chuckle:guffaw"
"giggle:laugh" "shriek:scream" "wine:beer" "eagerness:avidity" "shriek:scream" "eagerness:avidity"
"movie:film" "sediment:silt" "sapling:tree" "roast:char" "sapling:tree" "sediment:silt"
"heat:warm" "beer:wine" "pour:shower" "tree:sapling" "pour:shower" "beer:wine"
"pots:pans" "sadness:melancholia" "sea:ocean" "field:meadow" "sea:ocean" "field:meadow"
"sedan:coupe" "road:highway" "ocean:sea" "love:adore" "sedan:coupe" "love:adore"
"fire:flame" "coupe:sedan" "lion:tiger" "toast:bake" "toast:bake" "lion:tiger"
