"clean:dirtied" "cold:frozen" "wounded:dead" "whole:halved" "wounded:dead" "cold:frozen"
"drink:drank" "doable:done" "broken:repaired" "wooden:burned" "doable:done" "broken:repaired"
"cured:sick" "photogenic:picture" "dusty:dusted" "fashionable:trendy" "fashionable:trendy" "photogenic:picture"
"damaged:fragile" "fabric:sewn" "elastic:stretched" "creative:artistic" "fabric:sewn" "elastic:stretched"
"fragile:damaged" "soft:squeezed" "plastic:recycled" "soft:cuddled" "fragile:damaged" "soft:cuddled"
"glass:shattered" "kind:loving" "wandering:lost" "pliable:twisted" "pliable:twisted" "glass:shattered"
"burned:wooden" "light:carried" "volatile:combustible" "cold:icy" "burned:wooden" "light:carried"
"fragrant:smelled" "artistic:creative" "sickness:curable" "flexible:bent" "sickness:curable" "flexible:bent"
"beautiful:photogenic" "shiny:shined" "wearable:worn" "sick:cured" "shiny:shined" "wearable:worn"
"shattered:glass" "flammable:lit" "evanescent:gone" "reparable:fixed" "flammable:lit" "shattered:glass"
"wounded:dead" "creative:artistic" "fabric:sewn" "evanescent:gone" "fabric:sewn" "wounded:dead"
"doable:done" "wooden:burned" "kind:loving" "sickness:curable" "doable:done" "sickness:curable"
"elastic:stretched" "volatile:combustible" "glass:shattered" "cold:icy" "cold:icy" "volatile:combustible"
"beautiful:photogenic" "cured:sick" "artistic:creative" "burned:wooden" "burned:wooden" "cured:sick"
"reparable:fixed" "drink:drank" "flexible:bent" "wandering:lost" "flexible:bent" "reparable:fixed"
"soft:cuddled" "clean:dirtied" "fashionable:trendy" "flammable:lit" "flammable:lit" "fashionable:trendy"
"whole:halved" "light:carried" "shattered:glass" "shiny:shined" "light:carried" "shattered:glass"
"dusty:dusted" "photogenic:picture" "damaged:fragile" "fragile:damaged" "photogenic:picture" "dusty:dusted"
"plastic:recycled" "pliable:twisted" "cold:frozen" "sick:cured" "pliable:twisted" "cold:frozen"
"soft:squeezed" "broken:repaired" "wearable:worn" "fragrant:smelled" "broken:repaired" "fragrant:smelled"
"soft:squeezed" "doable:done" "flexible:bent" "wandering:lost" "doable:done" "flexible:bent"
"cured:sick" "volatile:combustible" "sickness:curable" "photogenic:picture" "photogenic:picture" "sickness:curable"
"kind:loving" "dusty:dusted" "whole:halved" "soft:cuddled" "dusty:dusted" "soft:cuddled"
"broken:repaired" "wounded:dead" "evanescent:gone" "fragrant:smelled" "broken:repaired" "wounded:dead"
"damaged:fragile" "artistic:creative" "reparable:fixed" "clean:dirtied" "reparable:fixed" "artistic:creative"
"creative:artistic" "shiny:shined" "light:carried" "burned:wooden" "burned:wooden" "light:carried"
"flammable:lit" "glass:shattered" "pliable:twisted" "wearable:worn" "pliable:twisted" "flammable:lit"
"sick:cured" "elastic:stretched" "cold:frozen" "beautiful:photogenic" "elastic:stretched" "cold:frozen"
"plastic:recycled" "drink:drank" "fashionable:trendy" "fragile:damaged" "fashionable:trendy" "drink:drank"
"fabric:sewn" "cold:icy" "shattered:glass" "wooden:burned" "fabric:sewn" "cold:icy"
"sickness:curable" "dusty:dusted" "sick:cured" "fragrant:smelled" "sickness:curable" "dusty:dusted"
"wearable:worn" "reparable:fixed" "glass:shattered" "whole:halved" "reparable:fixed" "glass:shattered"
"elastic:stretched" "artistic:creative" "wounded:dead" "plastic:recycled" "elastic:stretched" "wounded:dead"
"doable:done" "light:carried" "beautiful:photogenic" "wandering:lost" "doable:done" "light:carried"
"cold:icy" "flexible:bent" "burned:wooden" "volatile:combustible" "burned:wooden" "cold:icy"
"photogenic:picture" "fashionable:trendy" "broken:repaired" "creative:artistic" "fashionable:trendy" "photogenic:picture"
