"office:desk" "garage:car" "bed:hotel" "store:cart" "garage:car" "office:desk"
"office:telephone" "ball:sport" "garage:wrench" "kitchen:potholder" "kitchen:potholder" "garage:wrench"
"birthday:present" "class:teacher" "school:classroom" "laboratory:reagents" "class:teacher" "birthday:present"
"house:kitchen" "racetrack:cars" "car:tires" "kitchen:oven" "car:tires" "racetrack:cars"
"sport:ball" "mechanic:garage" "office:computer" "cards:casino" "mechanic:garage" "cards:casino"
"party:cake" "service:hymnal" "racetrack:saddle" "playground:slide" "party:cake" "playground:slide"
"kitchen:pot" "church:hymnal" "toolbox:hammer" "wedding:ring" "wedding:ring" "kitchen:pot"
"hospital:bed" "leaf:chlorophyll" "casino:cards" "war:weapon" "casino:cards" "war:weapon"
"bedroom:mattress" "library:book" "mattress:bedroom" "lavatory:sink" "library:book" "mattress:bedroom"
"sew:needle" "garage:mechanic" "hotel:bed" "firehouse:pole" "sew:needle" "firehouse:pole"
"church:pew" "bank:dollar" "garage:wrench" "racetrack:saddle" "racetrack:saddle" "bank:dollar"
"office:computer" "garage:mechanic" "bank:dollar" "class:teacher" "class:teacher" "bank:dollar"
"sew:needle" "leaf:chlorophyll" "racetrack:cars" "party:cake" "party:cake" "sew:needle"
"sport:ball" "bedroom:mattress" "office:desk" "garage:car" "garage:car" "office:desk"
"laboratory:reagents" "toolbox:hammer" "bed:hotel" "hotel:bed" "bed:hotel" "hotel:bed"
"cards:casino" "casino:cards" "firehouse:pole" "store:cart" "casino:cards" "cards:casino"
"wedding:ring" "kitchen:pot" "church:pew" "lavatory:sink" "wedding:ring" "kitchen:pot"
"kitchen:potholder" "kitchen:oven" "playground:slide" "school:classroom" "kitchen:potholder" "playground:slide"
"car:tires" "mattress:bedroom" "office:telephone" "ball:sport" "car:tires" "office:telephone"
"house:kitchen" "library:book" "birthday:present" "mechanic:garage" "library:book" "mechanic:garage"
"hospital:bed" "church:hymnal" "war:weapon" "service:hymnal" "service:hymnal" "war:weapon"
"house:kitchen" "library:book" "mechanic:garage" "garage:car" "library:book" "mechanic:garage"
"wedding:ring" "church:hymnal" "party:cake" "mattress:bedroom" "party:cake" "wedding:ring"
"school:classroom" "playground:slide" "bank:dollar" "office:desk" "playground:slide" "office:desk"
"leaf:chlorophyll" "sport:ball" "class:teacher" "hospital:bed" "class:teacher" "hospital:bed"
"sew:needle" "church:pew" "toolbox:hammer" "garage:mechanic" "sew:needle" "church:pew"
"racetrack:cars" "casino:cards" "kitchen:oven" "car:tires" "car:tires" "casino:cards"
"cards:casino" "war:weapon" "service:hymnal" "store:cart" "cards:casino" "store:cart"
"kitchen:potholder" "birthday:present" "garage:wrench" "hotel:bed" "kitchen:potholder" "birthday:present"
"bed:hotel" "office:computer" "bedroom:mattress" "office:telephone" "bed:hotel" "office:computer"
"laboratory:reagents" "kitchen:pot" "ball:sport" "firehouse:pole" "firehouse:pole" "laboratory:reagents"
"lavatory:sink" "racetrack:saddle" "party:cake" "sport:ball" "party:cake" "racetrack:saddle"
"house:kitchen" "firehouse:pole" "office:desk" "bed:hotel" "office:desk" "firehouse:pole"
"bedroom:mattress" "racetrack:cars" "car:tires" "ball:sport" "car:tires" "racetrack:cars"
"bank:dollar" "cards:casino" "birthday:present" "kitchen:oven" "birthday:present" "cards:casino"
"garage:mechanic" "laboratory:reagents" "office:telephone" "wedding:ring" "wedding:ring" "office:telephone"
"leaf:chlorophyll" "class:teacher" "school:classroom" "service:hymnal" "class:teacher" "school:classroom"
"garage:car" "racetrack:saddle" "church:pew" "church:hymnal" "racetrack:saddle" "garage:car"
"garage:wrench" "lavatory:sink" "war:weapon" "mattress:bedroom" "garage:wrench" "mattress:bedroom"
"store:cart" "library:book" "office:computer" "hospital:bed" "library:book" "office:computer"
"playground:slide" "mechanic:garage" "sew:needle" "toolbox:hammer" "sew:needle" "playground:slide"
"hotel:bed" "kitchen:potholder" "kitchen:pot" "casino:cards" "kitchen:potholder" "casino:cards"
"playground:slide" "cards:casino" "garage:car" "sport:ball" "playground:slide" "garage:car"
"church:hymnal" "bed:hotel" "leaf:chlorophyll" "racetrack:saddle" "racetrack:saddle" "bed:hotel"
"house:kitchen" "hotel:bed" "church:pew" "library:book" "library:book" "hotel:bed"
"firehouse:pole" "war:weapon" "wedding:ring" "lavatory:sink" "firehouse:pole" "wedding:ring"
"racetrack:cars" "sew:needle" "office:telephone" "laboratory:reagents" "sew:needle" "racetrack:cars"
"birthday:present" "store:cart" "garage:mechanic" "kitchen:oven" "birthday:present" "store:cart"
"bedroom:mattress" "class:teacher" "ball:sport" "kitchen:potholder" "kitchen:potholder" "class:teacher"
"hospital:bed" "school:classroom" "mechanic:garage" "casino:cards" "mechanic:garage" "casino:cards"
"mattress:bedroom" "office:desk" "party:cake" "bank:dollar" "party:cake" "office:desk"
"kitchen:pot" "office:computer" "garage:wrench" "toolbox:hammer" "garage:wrench" "office:computer"
"service:hymnal" "car:tires" "laboratory:reagents" "house:kitchen" "car:tires" "house:kitchen"
"school:classroom" "bed:hotel" "birthday:present" "church:pew" "birthday:present" "school:classroom"
"toolbox:hammer" "library:book" "ball:sport" "cards:casino" "library:book" "cards:casino"
"class:teacher" "store:cart" "casino:cards" "church:hymnal" "class:teacher" "casino:cards"
"kitchen:potholder" "bank:dollar" "sew:needle" "sport:ball" "sew:needle" "kitchen:potholder"
"garage:mechanic" "office:telephone" "racetrack:saddle" "lavatory:sink" "racetrack:saddle" "office:telephone"
