"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "books:scholar" "lyrics:songwriter"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "house:residents" "farmer:crops"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "librarian:books" "mother:children"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "expert:experience"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "professor:students" "doctor:phd"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "employee:job" "bank:money"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "songwriter:lyrics"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "students:teacher" "scholar:books"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "bee:beehive" "letters:words"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "college:teachers" "shrubs:roots"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "students:teacher" "books:scholar"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "bird:feathers" "house:residents"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "doctor:degree" "vintner:wine"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "tree:bark" "scholar:books"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bank:money" "librarian:books"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "musician:music" "college:teachers"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "jug:milk"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "mother:children" "library:books"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "shrubs:roots" "bee:beehive"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "letters:words" "lawyer:clients"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "mother:children" "bird:wings"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "students:teacher" "librarian:books"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "bee:beehive" "bird:feathers"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "expert:experience" "scholar:books"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "employee:job" "lawyer:clients"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "baker:bread" "garden:vegetables"
"investor:investments" "letters:words" "words:letters" "college:teachers" "college:teachers" "letters:words"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "doctor:degree" "jug:milk"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "bank:money" "library:books"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "college:teachers"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "mother:children" "baker:bread"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "employee:job" "bank:money"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "students:teacher" "lawyer:clients"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "library:books" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "shrubs:roots" "farmer:crops"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "librarian:books" "mammal:hair"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "songwriter:lyrics" "bird:feathers"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "tree:bark" "scholar:books"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "college:teachers" "bird:feathers"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "musician:music" "students:teacher"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "letters:words" "jug:milk"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "bee:beehive" "lawyer:clients"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "tree:bark" "library:books"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "employee:job" "scholar:books"
"professor:students" "expert:experience" "mother:children" "books:scholar" "expert:experience" "mother:children"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "shrubs:roots"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "bird:wings"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "librarian:books" "house:residents"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "bird:feathers" "garden:vegetables"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "refinery:gas"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "expert:experience" "librarian:books"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "tree:bark" "scholar:books"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "employee:job" "letters:words"
"teacher:students" "professor:students" "house:residents" "investor:investments" "house:residents" "professor:students"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "bank:money" "songwriter:lyrics"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "college:teachers" "mother:children"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "shrubs:roots"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "library:books"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "songwriter:lyrics" "doctor:phd"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "employee:job" "farmer:crops"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "students:teacher"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "books:scholar"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "expert:experience" "mother:children"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "doctor:degree"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "college:teachers" "librarian:books"
"mall:shops" "letters:words" "house:residents" "tree:bark" "tree:bark" "letters:words"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "library:books" "bird:wings"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "shrubs:roots" "words:letters"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "bee:beehive" "jug:milk"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "college:teachers" "tree:bark"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "songwriter:lyrics" "bird:wings"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "expert:experience" "scholar:books"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "shrubs:roots" "books:scholar"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "students:teacher" "mother:children"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "bee:beehive" "library:books"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "musician:music" "librarian:books"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "baker:bread" "farmer:crops"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "employee:job" "bank:money"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "letters:words" "mammal:hair"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "students:teacher" "scholar:books"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "college:teachers" "songwriter:lyrics"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "bee:beehive" "house:residents"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "shrubs:roots" "refinery:gas"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "librarian:books" "baker:bread"
"teacher:chalk" "mansion:rooms" "library:books" "letters:words" "library:books" "letters:words"
"gas:refinery" "musician:music" "vintner:wine" "tree:bark" "musician:music" "tree:bark"
"mammal:hair" "investor:investments" "expert:experience" "words:letters" "expert:experience" "mammal:hair"
"bird:wings" "employee:job" "mother:children" "jug:milk" "employee:job" "mother:children"
"doctor:degree" "lawyer:clients" "books:scholar" "bank:money" "bank:money" "doctor:degree"
"proprietor:employees" "songwriter:lyrics" "shrubs:roots" "lyrics:songwriter" "shrubs:roots" "songwriter:lyrics"
"letters:words" "refinery:gas" "college:teachers" "doctor:degree" "college:teachers" "letters:words"
"investor:investments" "library:books" "homeowner:door" "tree:bark" "tree:bark" "library:books"
"proprietor:employees" "expert:experience" "mansion:rooms" "mother:children" "expert:experience" "mother:children"
"bird:wings" "farmer:crops" "homeowner:home" "teacher:chalk" "bird:wings" "farmer:crops"
"vintner:wine" "books:scholar" "teacher:students" "students:teacher" "students:teacher" "books:scholar"
"lawyer:clients" "employee:job" "mammal:hair" "scholar:books" "employee:job" "scholar:books"
"bank:money" "librarian:books" "words:letters" "bird:feathers" "bank:money" "librarian:books"
"musician:music" "gas:refinery" "doctor:phd" "professor:students" "musician:music" "professor:students"
"jug:milk" "baker:bread" "garden:vegetables" "house:residents" "baker:bread" "house:residents"
"bee:beehive" "mall:shops" "garden:vegetables" "mother:children" "bee:beehive" "mother:children"
